Name;Data Type;Statistical Method;Effect Measure;Analysis Model;Events 1;Mean 1;SD 1;Total 1;Events 2;Mean 2;SD 2;Total 2;Effect Estimate;SE;CI Start;CI End;Weight;Q;P(Q);I²(Q);Tau²;Z;P(Z);Qint;P(Qint);I²(Qint);df;Year of study
PRP or autologous blood versus placebo;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pain relief>30 or 50%;DIC;MH;Risk Ratio;Random;;;;;;;;;;;;;;;;;;;;;;;;
6 months;DIC;MH;Risk Ratio;Random;46;;;56;38;;;63;1.36184211;;1.07708448;1.72188343;100;0;1;0;0;2.58040229;0.00986853;;;;0;
Mishra 2014;;;;;46;0;0;56;38;0;0;63;1.36184211;0.11968609;1.07708448;1.72188343;100;;;;;;;;;;;2014
Mean pain (VAS 0 to 10,PRTEE);CON;IV;Mean Difference;Random;;;;;;;;;;;;;;;;;;;;;;;;
to 3 weeks;CON;IV;Mean Difference;Random;0;;;10;0;;;9;2;;-0.65291903;4.65291903;100;0;1;0;0;1.4775905;0.13951742;;;;0;
Wolf 2011;;;;;0;5;3.1;10;0;3;2.8;9;2;1.35355499;-0.65291903;4.65291903;100;;;;;;;;;;;2011
>3 weeks to 6 weeks;CON;IV;Mean Difference;Random;0;;;264;0;;;227;0.36228141;;-0.05049795;0.77506078;100;5.22325183;0.38924665;4.2741924;0.01150426;1.72018899;0.08539809;;;;5;
Behera 2015;;;;;0;6.2;0.86;15;0;5.5;1.1;10;0.7;0.41268228;-0.10884241;1.50884241;24.39606654;;;;;;;;;;;2015
Krogh 2013;;;;;0;5.4;1.96;20;0;4.66;1.96;20;0.74;0.61980642;-0.47479826;1.95479826;11.21018971;;;;;;;;;;;
Martin 2019;;;;;0;4.33;1.9;32;0;3.84;1.9;29;0.49;0.48712961;-0.46475649;1.44475649;17.82749205;;;;;;;;;;;2019
Mishra 2014;;;;;0;-3.8;3.7;112;0;-3.3;3.7;113;-0.5;0.49333821;-1.46692512;0.46692512;17.40172755;;;;;;;;;;;2014
Montalvan 2015;;;;;0;5.8;1.9;25;0;5.1;1.6;25;0.7;0.49678969;-0.27368991;1.67368991;17.17149937;;;;;;;;;;;2015
Yerlikaya 2018;;;;;0;4.1;3;60;0;4.2;2.5;30;-0.1;0.5986095;-1.27325306;1.07325306;11.99302478;;;;;;;;;;;2018
>6 weeks to 3 months;CON;IV;Mean Difference;Random;0;;;260;0;;;214;-0.15578301;;-0.65669722;0.3451312;100;7.59553977;0.26925719;21.00627232;0.09532687;0.60954367;0.54216414;;;;6;
Behera 2015;;;;;0;4.3;1.6;15;0;5.2;0.97;10;-0.9;0.51454511;-1.90848988;0.10848988;18.13958102;;;;;;;;;;;2015
Krogh 2013;;;;;0;4.3;1.96;20;0;4.34;1.96;20;-0.04;0.61980642;-1.25479826;1.17479826;13.62240534;;;;;;;;;;;
Martin 2019;;;;;0;3.45;1.9;29;0;2.72;1.9;29;0.73;0.49896444;-0.24795234;1.70795234;18.97156233;;;;;;;;;;;2019
Mishra 2014;;;;;0;-5.5;3.8;101;0;-4.7;3.8;91;-0.8;0.5492282;-1.87646749;0.27646749;16.45369894;;;;;;;;;;;2014
Montalvan 2015;;;;;0;3.6;1.9;25;0;3.7;1.9;25;-0.1;0.53740115;-1.15328691;0.95328691;17.00418533;;;;;;;;;;;2015
Wolf 2011;;;;;0;4;2.5;10;0;3;2.7;9;1;1.19791486;-1.34786997;3.34786997;4.26821528;;;;;;;;;;;2011
Yerlikaya 2018;;;;;0;3.3;3.2;60;0;3.47;3;30;-0.17;0.6860515;-1.51463624;1.17463624;11.54035176;;;;;;;;;;;2018
