Comparison-Outcome-Timepoint, Back Transform Instrument,SD for Back Transform
PRP or autologous blood versus placebo-mean pain-3 weeks,VAS (0 to 10),1
PRP or autologous blood versus placebo-mean pain-6 weeks,VAS (0 to 10),1
PRP or autologous blood versus placebo-mean pain-3 months,VAS (0 to 10),1
PRP or autologous blood versus placebo-mean pain-6 months,VAS (0 to 10),1
PRP or autologous blood versus placebo-mean pain-12 months,VAS (0 to 10),1
PRP or autologous blood versus placebo-function-3 weeks,PRTEE,19.1
PRP or autologous blood versus placebo-function-6 weeks,PRTEE,19.1
PRP or autologous blood versus placebo-function-3 months,PRTEE,19.1
PRP or autologous blood versus placebo-function-6 months,PRTEE,19.1
PRP or autologous blood versus placebo-function-12 months,PRTEE,19.1
PRP or autologous blood versus corticosteroid injection-mean pain-3 weeks,VAS (0 to 10),1
PRP or autologous blood versus corticosteroid injection-mean pain-6 weeks,VAS (0 to 10),1
PRP or autologous blood versus corticosteroid injection-mean pain-3 months,VAS (0 to 10),1
PRP or autologous blood versus corticosteroid injection-mean pain-6 months,VAS (0 to 10),1
PRP or autologous blood versus corticosteroid injection-mean pain-1 year,VAS (0 to 10),1
PRP or autologous blood versus corticosteroid injection-mean pain->1 year,VAS (0 to 10),1
PRP or autologous blood versus corticosteroid injection-function-3 weeks,PRTEE,19.1
PRP or autologous blood versus corticosteroid injection-function-6 weeks,PRTEE,19.1
PRP or autologous blood versus corticosteroid injection-function-3 months,PRTEE,19.1
PRP or autologous blood versus corticosteroid injection-function-6 months,PRTEE,19.1
PRP or autologous blood versus corticosteroid injection-function-1 year,PRTEE,19.1
PRP or autologous blood versus corticosteroid injection-function->1 year,PRTEE,19.1
PRP or autologous blood versus corticosteroid injection-grip strength-3 weeks,kg,15.6
PRP or autologous blood versus corticosteroid injection-grip strength-6 weeks,kg,15.6
PRP or autologous blood versus corticosteroid injection-grip strength-3 months,kg,15.6
PRP or autologous blood versus corticosteroid injection-grip strength-6 months,kg,15.6
PRP or autologous blood versus corticosteroid injection-grip strength-1 year,kg,15.6
PRP versus autologous blood-function-6 weeks,Mayo Elbow Performance Score,16
PRP versus autologous blood-function-3 months,Mayo Elbow Performance Score,16
PRP versus autologous blood-function-6 months,Mayo Elbow Performance Score,16
PRP versus autologous blood-function-12 months,Mayo Elbow Performance Score,16
Subgroups PRP and blood versus corticosteroid at 3 months-mean pain-PRP,VAS (0 to 10),1
Subgroups PRP and blood versus corticosteroid at 3 months-mean pain-Autologous blood,VAS (0 to 10),1
Subgroups PRP and blood versus corticosteroid at 3 months-function-PRP,PRTEE,19.1
Subgroups PRP and blood versus corticosteroid at 3 months-function-Autologous blood,PRTEE,19.1
Subgroups PRP and blood versus corticosteroid at 3 months-grip strength-PRP,kg,15.6
Subgroups PRP and blood versus corticosteroid at 3 months-grip strength-Autologous blood,kg,15.6
Subgroup leucocyte rich versus leucocyte poor PRP at 3 months-mean pain-Leucocyte rich,VAS (0 to 10),1
Subgroup leucocyte rich versus leucocyte poor PRP at 3 months-mean pain-Leucocyte poor,VAS (0 to 10),1
Subgroup leucocyte rich versus leucocyte poor PRP at 3 months-function-Leucocyte rich,PRTEE,19.1
Subgroup leucocyte rich versus leucocyte poor PRP at 3 months-function-Leucocyte poor,PRTEE,19.1
